filename, language, JavaScript, JSON, comment, blank, total
GameObjects\Enemies\boss1.js, JavaScript, 186, 0, 16, 27, 229
GameObjects\Enemies\boss2.js, JavaScript, 234, 0, 25, 35, 294
GameObjects\Enemies\boss3.js, JavaScript, 300, 0, 9, 34, 343
GameObjects\Enemies\coulomb.js, JavaScript, 101, 0, 20, 19, 140
GameObjects\Enemies\enemy.js, JavaScript, 15, 0, 0, 1, 16
GameObjects\Enemies\jolt.js, JavaScript, 112, 0, 12, 11, 135
GameObjects\Enemies\scancatcher.js, JavaScript, 40, 0, 5, 6, 51
GameObjects\Enemies\trashbot.js, JavaScript, 146, 0, 9, 13, 168
GameObjects\Enemies\wavebender.js, JavaScript, 87, 0, 6, 12, 105
GameObjects\gauge.js, JavaScript, 15, 0, 0, 1, 16
GameObjects\laser.js, JavaScript, 29, 0, 1, 2, 32
GameObjects\lasertrap.js, JavaScript, 85, 0, 13, 2, 100
GameObjects\turret.js, JavaScript, 13, 0, 0, 1, 14
bootloader.js, JavaScript, 133, 0, 24, 24, 181
i18n\en-GB.json, JSON, 0, 177, 0, 0, 177
i18n\es-ES.json, JSON, 0, 178, 0, 0, 178
i18n\val.json, JSON, 0, 178, 0, 1, 179
init.js, JavaScript, 68, 0, 0, 4, 72
scenes\scenario\mapUT.js, JavaScript, 327, 0, 9, 36, 372
scenes\scenario\maptest.js, JavaScript, 270, 0, 41, 27, 338
scenes\scenario\scenarioDistribution.json, JSON, 0, 350, 0, 1, 351
scenes\scene.continue.js, JavaScript, 118, 0, 10, 21, 149
scenes\scene.controls.js, JavaScript, 215, 0, 1, 39, 255
scenes\scene.credits.js, JavaScript, 78, 0, 15, 14, 107
scenes\scene.hostile.js, JavaScript, 651, 0, 146, 61, 858
scenes\scene.language.js, JavaScript, 163, 0, 22, 29, 214
scenes\scene.level1.js, JavaScript, 588, 0, 26, 52, 666
scenes\scene.level1_1.js, JavaScript, 297, 0, 29, 49, 375
scenes\scene.level1_2.js, JavaScript, 325, 0, 29, 50, 404
scenes\scene.level1_B.js, JavaScript, 342, 0, 22, 47, 411
scenes\scene.level2.js, JavaScript, 588, 0, 28, 47, 663
scenes\scene.level2_1.js, JavaScript, 418, 0, 35, 70, 523
scenes\scene.level2_2.js, JavaScript, 437, 0, 35, 69, 541
scenes\scene.level2_B.js, JavaScript, 337, 0, 24, 48, 409
scenes\scene.level3.js, JavaScript, 586, 0, 28, 47, 661
scenes\scene.level3_1.js, JavaScript, 418, 0, 36, 67, 521
scenes\scene.level3_2.js, JavaScript, 390, 0, 29, 64, 483
scenes\scene.level3_B.js, JavaScript, 285, 0, 22, 42, 349
scenes\scene.mainmenu.js, JavaScript, 189, 0, 16, 27, 232
scenes\scene.opening.js, JavaScript, 77, 0, 17, 17, 111
scenes\scene.play.js, JavaScript, 316, 0, 33, 48, 397
scenes\scene.settings.js, JavaScript, 110, 0, 11, 20, 141
scenes\scenes.ending.js, JavaScript, 73, 0, 15, 15, 103
settings\difficulty.js, JavaScript, 65, 0, 0, 0, 65
Total, -, 9227, 883, 819, 1200, 12129